Wage (€),Value (€),Name,Age,Nationality,Overall,Potential,Club
6000,750000,A. Kamara,23,Sierra Leone,65,71,Al Taawoun
2000,650000,B. Geens,21,Belgium,65,74,Sporting Lokeren
7000,220000,M. Halsti,33,Finland,65,65,FC Midtjylland
3000,725000,M. Ilaimaharitra,21,France,65,74,Sporting Charleroi
4000,575000,F. Grillo,24,Argentina,65,69,Vélez Sarsfield
3000,600000,Patrão,27,Portugal,65,66,Grupo Desportivo de Chaves
13000,1000000,K. Nwakali,19,Nigeria,65,78,VVV-Venlo
2000,550000,J. Sudi_,26,Sweden,65,68,BK Häcken
5000,575000,D. Gissi,26,Switzerland,65,69,Defensa y Justicia
3000,625000,N. Cameron,25,England,65,71,Bury
3000,625000,R. Edwards,23,England,65,70,Plymouth Argyle
7000,750000,D. Mangni,24,Italy,65,71,Atalanta
10000,650000,S. Ferguson,25,Northern Ireland,65,66,Millwall
2000,675000,J. Nilsson,23,Sweden,65,73,IF Elfsborg
2000,600000,P. Fryc,24,Poland,65,70,Termalica Bruk-Bet Nieciecza
3000,725000,Y. Attal,21,Algeria,65,74,KV Kortrijk
2000,625000,R. Godínez,24,Mexico,65,70,Lobos de la BUAP
6000,825000,Tarsi,22,Spain,65,74,Athletic Club de Bilbao
1000,975000,Ezkieta,20,Spain,65,79,FC Barcelona B
2000,600000,F. Lanzillotta,24,Argentina,65,73,Argentinos Juniors
2000,450000,M. Fink,27,Slovenia,65,65,Cracovia
2000,575000,M. Mikovi_,26,Slovakia,65,65,Termalica Bruk-Bet Nieciecza
4000,300000,A. Collin,32,England,65,65,Notts County
4000,525000,D. Rose,29,England,65,65,Portsmouth
3000,400000,J. Tosik,30,Poland,65,65,Zag__bie Lubin
1000,450000,T. Morita,26,Japan,65,67,Albirex Niigata
1000,900000,S. _urkowski,19,Poland,65,76,Górnik Zabrze
5000,525000,S. Kukuruzovi_,28,Croatia,65,65,FC St. Gallen
6000,475000,A. Al Mutairi,31,Saudi Arabia,65,65,Al Fayha
3000,650000,Lasure,23,Spain,65,72,Real Zaragoza
2000,550000,Evandro,29,Brazil,65,65,Daegu FC
4000,525000,P. Taylor,29,England,65,65,Bradford City
7000,400000,W. Suwayyid,29,Saudi Arabia,65,65,Al Faisaly
8000,775000,I. Radu,20,Romania,65,77,Avellino
7000,725000,P. Estupiñán,19,Ecuador,65,75,UD Almería
3000,500000,L. Martínez,30,Mexico,65,65,Tiburones Rojos de Veracruz
4000,220000,N. Clarke,33,England,65,65,Grimsby Town
2000,450000,José Cruz,28,Spain,65,65,Viking FK
3000,575000,C. Curran,27,England,65,65,Ross County FC
1000,325000,S. López,31,Argentina,65,65,Jaguares Fútbol Club
4000,725000,F. Angileri,23,Argentina,65,70,Godoy Cruz
3000,700000,J. Bager,20,Denmark,65,73,Randers FC
0,0,A. Vetrih,26,Slovenia,65,66,
1000,600000,K. Pannewitz,25,Germany,65,70,FC Carl Zeiss Jena
3000,575000,B. Kopacz,25,Poland,65,68,Zag__bie Lubin
1000,220000,H. Patronen,33,Finland,65,65,HJK Helsinki
5000,650000,F. Cristaldo,20,Argentina,65,72,Defensa y Justicia
4000,525000,T. Parkes,25,England,65,66,Carlisle United
3000,825000,S. Lovric,19,Austria,65,77,SK Sturm Graz
1000,675000,N. Butzen,24,Germany,65,68,1. FC Magdeburg
2000,475000,N. Di Roberto,31,Italy,65,65,Salernitana
18000,875000,G. Zelalem,20,United States,65,75,Arsenal
4000,850000,R. Brown,21,England,65,74,Forest Green
4000,675000,F. Escobar,22,Argentina,65,73,Newell's Old Boys
2000,725000,D. Zeefuik,19,Netherlands,65,75,Ajax
1000,400000,S. Salviato,29,Italy,65,65,Cremonese
3000,625000,R. Dow,26,Scotland,65,66,Ross County FC
2000,650000,S. Adekugbe,22,Canada,65,72,IFK Göteborg
15000,1100000,P. Foden,17,England,65,84,Manchester City
1000,270000,A. Poggenborg,33,Germany,65,65,SC Fortuna Köln
4000,600000,E. Gómez,23,Argentina,65,70,Rosario Central
4000,725000,M. Finotto,24,Italy,65,69,Ternana
1000,875000,K. Sadlier,22,Republic of Ireland,65,75,Cork City
2000,550000,T. Ho_ota,26,Poland,65,67,Pogo_ Szczecin
2000,650000,D. Payne,21,United States,65,72,Excelsior
2000,350000,J. Lillis,30,England,65,65,Rochdale
4000,875000,P. Rosario,20,Netherlands,65,75,PSV
2000,750000,Sim Sang Min,24,Korea Republic,65,71,FC Seoul
3000,775000,I. Diallo,20,Mali,65,75,KAS Eupen
2000,650000,Choi Kyu Baek,23,Korea Republic,65,72,Ulsan Hyundai Horang-i
12000,325000,E. Palos,31,Mexico,65,65,Tigres U.A.N.L.
4000,975000,M. Rojas,21,Paraguay,65,77,Club Atlético Lanús
2000,775000,Pedro Silva,20,Portugal,65,77,Sporting CP
5000,300000,D. Khomich,32,Russia,65,65,Amkar Perm
2000,600000,Kim Dong Jin,24,Korea Republic,65,69,Daegu FC
3000,220000,G. Montoya,34,Argentina,65,65,Belgrano de Córdoba
5000,700000,Paulo Otávio,22,Brazil,65,74,FC Ingolstadt 04
6000,425000,A. Al Shammari,28,Saudi Arabia,65,65,Al Raed
2000,525000,E. Bajrami,29,Sweden,65,65,IF Elfsborg
11000,675000,T. Elliott,26,England,65,68,Millwall
5000,475000,R. Salinas,31,Argentina,65,65,Ettifaq FC
3000,375000,M. Castro,29,Uruguay,65,65,Unión de Santa Fe
2000,400000,M. Dumbuya,29,Sierra Leone,65,65,Partick Thistle F.C.
1000,575000,S. Benyamina,27,Germany,65,65,Hansa Rostock
3000,120000,J. Quiroga,35,Argentina,65,65,Belgrano de Córdoba
1000,725000,S. Tronstad,21,Norway,65,70,FK Haugesund
4000,725000,T. Lapslie,21,England,65,74,Colchester United
2000,425000,J. Rivas,29,Colombia,65,65,CD Los Millionarios Bogota
3000,675000,N. Freire,23,Argentina,65,73,PEC Zwolle
2000,220000,V. Demarconnay,34,France,65,65,Paris FC
3000,1200000,C. Chaplin,20,England,65,82,Portsmouth
1000,575000,V. Mogos,24,Romania,65,69,Ascoli
5000,575000,N. Bandiera,27,Argentina,65,65,Belgrano de Córdoba
1000,450000,C. Handke,28,Germany,65,65,1. FC Magdeburg
11000,525000,R. Allsop,25,England,65,71,Blackpool
2000,750000,Gus Ledes,24,Portugal,65,72,CF Reus Deportiu
10000,1100000,M. Lowe,20,England,65,79,Derby County
3000,625000,D. Dussaut,22,France,65,71,Sint-Truidense VV
1000,750000,T. Schwede,23,Germany,65,71,1. FC Magdeburg
2000,625000,J. Adebanjo,23,Nigeria,65,70,Vitória Setúbal
3000,550000,G. Piesio,28,Poland,65,65,Arka Gdynia
6000,575000,B. Sankoh,25,Guinea,65,68,SM Caen
1000,525000,L. Chiaretti,29,Brazil,65,65,Cittadella
6000,800000,M. Petrasso,21,Canada,65,73,Queens Park Rangers
1000,625000,T. Lumanza,23,Belgium,65,71,Stabæk Fotball
4000,400000,G. Evans,29,England,65,65,Portsmouth
3000,800000,Jean Carlos,21,Brazil,65,73,Granada CF
3000,550000,G. Nijholt,27,Netherlands,65,65,NAC Breda
1000,550000,D. Albadoro,28,Italy,65,65,Ternana
0,0,A. Aguilar,28,Paraguay,65,65,
7000,550000,A. Salugin,28,Russia,65,65,Amkar Perm
3000,650000,L. Olaza,22,Uruguay,65,72,Talleres de Cordoba
2000,700000,Alex Rodríguez,23,Spain,65,69,Boavista FC
4000,675000,I. Azemi,25,Kosovo,65,67,Holstein Kiel
4000,1200000,M. Mehlem,19,Germany,65,79,SV Darmstadt 98
21000,775000,F. Margiotta,23,Italy,65,72,FC Lausanne-Sports
8000,550000,M. Ali Yakoubi,26,Tunisia,65,67,Al Fateh
3000,1000000,J. Onguéné,19,France,65,80,FC Red Bull Salzburg
2000,600000,C. Landu Landu,25,Norway,65,70,Tromsø IL
6000,775000,A. Pavlovi_,23,Serbia,65,72,FC København
4000,725000,M. Ullmann,21,Austria,65,74,LASK Linz
8000,425000,K. Guédé,32,Slovakia,65,65,SC Freiburg
2000,375000,A. Ponroy,31,France,65,65,Bourg en Bresse Péronnas 01
2000,500000,A. Østbø,26,Norway,65,70,Rosenborg BK
3000,500000,J. Mills,27,England,65,66,Perth Glory
2000,550000,R. Bocalon,28,Italy,65,65,Salernitana
5000,675000,R. Riski,25,Finland,65,67,SKN St. Pölten
13000,425000,L. Clarke,32,England,65,65,Sheffield United
3000,925000,Toni Villa,22,Spain,65,76,Real Valladolid
5000,575000,R. Rep,27,Slovenia,65,65,LASK Linz
2000,40000,M. Giordano,37,Argentina,65,65,Club Atlético Huracán
5000,625000,M. Lucero,27,Argentina,65,66,Banfield
1000,550000,J. Al-Hazaimeh,25,Germany,65,67,SC Preußen Münster
10000,525000,A. Wailbi,26,Saudi Arabia,65,66,Al Nassr
4000,775000,H. Sakhi,21,Morocco,65,72,AJ Auxerre
2000,475000,D. Holm,31,Norway,65,65,Vålerenga Fotball
1000,400000,S. Supple,30,Republic of Ireland,65,66,Bohemian FC
1000,375000,E. Legati,31,Italy,65,65,Vercelli
7000,325000,C. Ben Saada,33,Tunisia,65,65,ES Troyes AC
2000,650000,T. Erat,25,Azerbaijan,65,67,MSV Duisburg
5000,550000,Y. Otayn,26,Saudi Arabia,65,68,Ettifaq FC
6000,550000,D. Arapov,24,Russia,65,71,FC Ural
3000,375000,I. Boggino,31,Argentina,65,65,Temperley
3000,450000,Y. Maruyama,28,Japan,65,65,F.C. Tokyo
6000,1000000,B. Jatta,19,Gambia,65,78,Hamburger SV
5000,550000,I. Ouédraogo,28,Burkina Faso,65,65,Wolfsberger AC
0,0,P. Azogue,22,Bolivia,65,74,
7000,850000,D. Atanga,20,Ghana,65,74,FC Red Bull Salzburg
3000,725000,J. van der Heyden,21,Netherlands,65,71,FC Twente
2000,800000,R. Ogawa,20,Japan,65,76,F.C. Tokyo
3000,600000,K. Dougall,24,Australia,65,69,Sparta Rotterdam
1000,375000,T. Nocchi,26,Italy,65,65,Perugia
1000,450000,M. Ahlschwede,27,Germany,65,65,Würzburger FV
11000,675000,J. Lolley,24,England,65,68,Huddersfield Town
4000,875000,D. Rodríguez,21,Argentina,65,75,River Plate
6000,550000,E. Güral,28,Turkey,65,65,Antalyaspor
2000,375000,A. Gerrard,31,Republic of Ireland,65,65,Oldham Athletic
6000,825000,K. N'Doram,21,France,65,76,AS Monaco
3000,475000,K. Yoshimoto,29,Japan,65,66,F.C. Tokyo
4000,375000,G. Liddle,31,England,65,65,Carlisle United
4000,1000000,J. Torunarigha,19,Germany,65,80,Hertha BSC Berlin
14000,1200000,P. Cutrone,19,Italy,65,80,Milan
4000,650000,B. Kee,26,Northern Ireland,65,66,Accrington Stanley
4000,625000,T. Yonemoto,26,Japan,65,66,F.C. Tokyo
5000,550000,R. Reid,28,England,65,65,Exeter City
1000,675000,M. Wanitzek,24,Germany,65,68,Karlsruher SC
5000,550000,A. Pnishi,26,Kosovo,65,68,Grasshopper Club Zürich
2000,500000,R. Boukari,30,Togo,65,65,La Berrichonne de Châteauroux
4000,425000,H. Fujiharu,28,Japan,65,65,Gamba Osaka
1000,425000,M. Schulze,28,Germany,65,65,Sportfreunde Lotte
3000,220000,D. Fox,33,England,65,65,Plymouth Argyle
13000,800000,M. Grimes,21,England,65,73,Northampton Town
9000,650000,G. Baldock,24,England,65,72,Sheffield United
2000,575000,J. Bartkowski,25,Poland,65,69,Wis_a Kraków
7000,210000,N. Safronidi,33,Russia,65,65,FC Ufa
3000,925000,M. Cardona,21,Colombia,65,76,Chacarita Juniors
1000,675000,A. Vita,24,Italy,65,67,Cesena
3000,425000,P. Hartley,29,England,65,65,Motherwell
2000,475000,J. S_owik,25,Poland,65,68,_l_sk Wroc_aw
5000,525000,M. Rigione,26,Italy,65,66,Cesena
2000,575000,D. Dziwniel,24,Poland,65,68,Zag__bie Lubin
1000,40000,Kim Yong Dae,37,Korea Republic,65,65,Ulsan Hyundai Horang-i
5000,300000,A. El-Abd,32,Egypt,65,65,Wycombe Wanderers
2000,400000,B. Özbek,30,Germany,65,65,MSV Duisburg
4000,675000,J. Proctor,25,England,65,67,Rotherham United
2000,450000,O. Marciano,27,Israel,65,67,Hibernian
3000,400000,A. Scifo,29,Argentina,65,65,Temperley
4000,425000,Kim Jung Ya,29,Korea Republic,65,65,Gamba Osaka
2000,350000,C. Bell,30,Scotland,65,65,Kilmarnock
3000,725000,J. Allen,22,England,65,74,Burton Albion
6000,500000,M. Tishkin,27,Russia,65,66,FC SKA-Energiya Khabarovsk
12000,875000,G. Melkadze,20,Russia,65,75,FC Tosno
3000,750000,J. _wierczok,24,Poland,65,71,Zag__bie Lubin
3000,120000,M. Galmarini,35,Argentina,65,65,Club Atlético Tigre
1000,800000,M. Bader,20,Germany,65,76,Karlsruher SC
3000,525000,D. Andrew,26,England,65,67,Doncaster Rovers
2000,220000,H. Lybohy,33,France,65,65,Paris FC
8000,550000,M. Al Fehaid,27,Saudi Arabia,65,68,Al Fateh
5000,650000,M. Ambichl,26,Austria,65,67,SKN St. Pölten
1000,475000,R. Koch,31,Germany,65,65,FSV Zwickau
1000,600000,J. Fabri,23,France,65,73,Stade Brestois 29
3000,425000,J. Rask,28,Denmark,65,66,Hobro IK
3000,130000,M. Doyle,35,Republic of Ireland,65,65,Coventry City
1000,500000,N. Nyauza,27,South Africa,65,66,Orlando Pirates
2000,210000,H. Camara,33,France,65,65,Montreal Impact
3000,130000,C. Gratzei,35,Austria,65,65,SK Sturm Graz
3000,1100000,M. Clarke,20,England,65,82,Portsmouth
2000,350000,A. Raineau,31,France,65,65,La Berrichonne de Châteauroux
3000,500000,C. Gutiérrez,27,Mexico,65,66,Puebla
4000,750000,R. Jaadi,22,Belgium,65,71,Royal Antwerp FC
1000,450000,L. Paz,28,Colombia,65,65,Deportes Tolima
8000,750000,J. Cooper,22,England,65,75,Millwall
2000,825000,D. Jones,20,United States,65,76,Philadelphia Union
1000,1000000,A. Picchi,19,Italy,65,78,Empoli
3000,1000000,K. Danso,18,Austria,65,79,FC Augsburg
2000,750000,Romário,24,Brazil,65,71,Kalmar FF
8000,700000,João Pedro,24,Brazil,65,68,Al Fateh
2000,750000,Anuar,22,Morocco,65,75,Real Valladolid
1000,925000,L. Caicedo,21,Colombia,65,78,Corporación Club Deportivo Tuluá
2000,400000,E. Wahlström,30,Sweden,65,65,BK Häcken
2000,425000,Z. Diabaté,28,Ivory Coast,65,65,Chamois Niortais FC
6000,500000,A. Al Owayshir,26,Saudi Arabia,65,69,Al Fateh
1000,625000,D. Cinaglia,23,Italy,65,70,Ascoli
4000,825000,S. Ernst,22,Germany,65,74,SpVgg Greuther Fürth
2000,800000,A. Vincent,23,France,65,73,AJ Auxerre
5000,600000,Nito Carbelho,25,Brazil,65,65,Avaí Futebol Clube
4000,725000,A. Bliznichenko,22,Ukraine,65,70,Kardemir Karabükspor
7000,875000,M. Hartel,21,Germany,65,75,1. FC Union Berlin
11000,650000,M. Fox,23,Wales,65,72,Sheffield Wednesday
1000,375000,F. Oyerze,29,Chile,65,65,Audax Italiano
1000,700000,A. Hanche-Olsen,20,Norway,65,73,Stabæk Fotball
6000,775000,D. Milovi_,23,Montenegro,65,72,Amkar Perm
3000,450000,L. Brown,26,England,65,65,Bristol Rovers
2000,450000,R. Gaddis,27,United States,65,65,Philadelphia Union
4000,825000,R. Colclough,22,England,65,74,Wigan Athletic
3000,750000,Javi Galán,22,Spain,65,72,Córdoba CF
1000,700000,V. Vukadinovi_,26,Serbia,65,69,Sparta Praha
4000,425000,G. Zárate,32,Argentina,65,65,FC Lausanne-Sports
5000,825000,E. Ávila,23,Argentina,65,74,SD Huesca
4000,575000,C. Bernardi,27,Argentina,65,65,Colon de Santa Fe
2000,700000,J. Leitón,23,Costa Rica,65,69,Minnesota Thunder
2000,550000,M. Sema,28,Sweden,65,65,Örebro SK
4000,300000,D. Potter,32,Republic of Ireland,65,65,Rotherham United
2000,675000,A. Vindheim,21,Norway,65,73,Malmö FF
3000,600000,L. Mutambala,24,DR Congo,65,70,Royal Excel Mouscron
3000,550000,D. Templeton,28,Scotland,65,65,Hamilton Academical FC
11000,850000,B. Cargill,21,England,65,77,Fleetwood Town
1000,650000,R. Shindo,21,Japan,65,71,Hokkaido Consadole Sapporo
2000,950000,G. Torres,21,Colombia,65,76,Atletico Nacional Medellin
4000,500000,M. N'Diaye,27,Mali,65,66,Royal Antwerp FC
3000,525000,Aridane,30,Spain,65,65,Albacete Balompié
1000,525000,G. Gigliotti,27,France,65,67,Ascoli
14000,800000,A. Panyukov,22,Russia,65,73,Zenit St. Petersburg
3000,210000,J. Wawrzyniak,33,Poland,65,65,Lechia Gda_sk
2000,650000,K. Omori,25,Japan,65,67,Vissel Kobe
2000,500000,M. Scavone,30,Italy,65,65,Parma
4000,700000,C. Winchester,24,Northern Ireland,65,69,Cheltenham Town
9000,875000,G. Williams,21,Wales,65,75,Fulham
1000,600000,F. Menig,23,Germany,65,70,SC Preußen Münster
2000,425000,K. Otani,28,Japan,65,66,Albirex Niigata
1000,950000,K. Pierie,16,Netherlands,65,82,SC Heerenveen
3000,400000,Ha Dae Sung,32,Korea Republic,65,65,FC Seoul
3000,400000,R. Dickson,30,England,65,65,Yeovil Town
3000,875000,Kike Barja,20,Spain,65,75,CA Osasuna
3000,700000,A. Nkaka,21,Belgium,65,73,Royal Excel Mouscron
2000,575000,S. Iocolano,27,Italy,65,65,Bari
2000,550000,Ronaldo,27,Brazil,65,65,Novara
6000,500000,M. Falkesgaard,26,Denmark,65,69,FC Midtjylland
2000,450000,Lee Jong Won,28,Korea Republic,65,65,Sangju Sangmu FC
6000,750000,B. Khadartsev,24,Russia,65,71,FC Anzhi Makhachkala
1000,750000,I. Karsanidis,24,Greece,65,71,Würzburger FV
3000,475000,Han Sang Wun,31,Korea Republic,65,65,Ulsan Hyundai Horang-i
2000,400000,Choi Jong Hoan,29,Korea Republic,65,65,Incheon United FC
1000,700000,A. Correa,23,Colombia,65,74,La Equidad
2000,400000,T. Nezuñir,29,Chile,65,65,CD Palestino
1000,725000,R. Bagadur,21,Croatia,65,74,Brescia
4000,500000,Oh Jae Suk,27,Korea Republic,65,66,Gamba Osaka
1000,775000,S. Maholli,24,Sweden,65,72,IK Sirius
5000,525000,E. Kele_,30,Turkey,65,65,Medicana Sivasspor
3000,550000,L. Velázquez,28,Argentina,65,65,Tiburones Rojos de Veracruz
1000,60000,D. Brückner,36,Germany,65,65,Rot-Weiß Erfurt
3000,425000,B. Moloney,28,Republic of Ireland,65,65,Northampton Town
5000,575000,D. Worrall,27,England,65,65,Port Vale
7000,700000,L. López,23,Mexico,65,70,Club León
2000,800000,T. Hasegawa,23,Japan,65,73,Kawasaki Frontale
2000,425000,J. Brown,28,England,65,65,Shrewsbury
2000,425000,A. Cisak,28,Australia,65,66,Sydney FC
3000,375000,L. Barnett,31,England,65,65,Northampton Town
2000,725000,A. Schalk,24,Netherlands,65,70,Ross County FC
3000,575000,R. Wolters,27,Netherlands,65,65,Dundee FC
2000,220000,F. Geraldoza,33,Chile,65,65,Santiago Wanderers
4000,450000,T. Aoki,27,Japan,65,65,Urawa Red Diamonds
3000,650000,J. Gatt,25,United States,65,66,Colorado Rapids
0,0,M. Viler,30,Slovenia,65,65,
4000,550000,F. Godoy,27,Argentina,65,68,Talleres de Cordoba
3000,700000,P. Mullins,25,United States,65,68,D.C. United
3000,600000,M. Wostry,24,Austria,65,69,FC Admira Wacker Mödling
7000,875000,Imanol García,21,Spain,65,75,Villarreal CF
3000,625000,J. Vunguidica,27,Angola,65,66,SV Sandhausen
2000,650000,A. Omrani,26,Algeria,65,68,Oldham Athletic
3000,220000,D. Flinta,33,Denmark,65,65,Silkeborg IF
4000,825000,P. Jaquez,21,Mexico,65,76,U.N.A.M.
9000,750000,M. Al Najrani,24,Saudi Arabia,65,71,Al Hilal
3000,700000,Everton,23,Brazil,65,68,CS Marítimo
3000,425000,Z. Loyd,29,United States,65,65,Atlanta United FC
3000,675000,A. Jackson,23,England,65,73,Barnsley
2000,475000,Rui Vieira,25,Portugal,65,68,Rio Ave FC
1000,600000,S. Galloway,22,Australia,65,70,Wellington Phoenix
4000,475000,J. Kjær,31,Denmark,65,65,Lyngby BK
2000,350000,Janota,30,Portugal,65,65,Tondela
5000,500000,Juanmi Callejón,30,Spain,65,65,Ettifaq FC
4000,925000,J. Harrop,21,England,65,76,Preston North End
12000,875000,R. Del Castillo,21,France,65,75,Nîmes Olympique
1000,325000,P. Frattali,31,Italy,65,65,Parma
3000,425000,B. Augustyn,29,Poland,65,65,Lechia Gda_sk
5000,450000,L. Schwechlen,28,France,65,65,Göztepe
1000,270000,J. Glinker,33,Germany,65,65,1. FC Magdeburg
1000,450000,G. Shitolo,27,South Africa,65,65,Orlando Pirates
4000,550000,R. Taylor,29,England,65,65,Plymouth Argyle
6000,220000,R. Mukhametshin,33,Russia,65,65,FC Tosno
3000,500000,R. Janssen,27,Netherlands,65,66,VVV-Venlo
3000,425000,R. O'Donnell,28,England,65,66,Rotherham United
3000,375000,J. Ayala,29,Argentina,65,65,Temperley
1000,475000,J. Sarnida,25,Chile,65,65,San Luis de Quillota
1000,325000,S. Mpontshane,31,South Africa,65,65,Orlando Pirates
2000,975000,K. Miyoshi,20,Japan,65,77,Kawasaki Frontale
1000,650000,S. Kind Mikalsen,24,Norway,65,72,Lillestrøm SK
1000,750000,M. Yaghoubi,22,Finland,65,75,HJK Helsinki
2000,220000,Thiago Xavier,33,Brazil,65,65,Valenciennes FC
4000,725000,T. Miyayoshi,24,Japan,65,69,Sanfrecce Hiroshima
6000,775000,E. Markov,22,Russia,65,72,FC Tosno
4000,600000,Alex,26,Brazil,65,65,Silkeborg IF
4000,260000,E. Schiavon,34,Italy,65,65,Ferrara (SPAL)
4000,700000,M. Valjent,21,Slovakia,65,73,Ternana
1000,650000,H. Ekstein,26,South Africa,65,67,Kaizer Chiefs
3000,725000,Nacho,24,Spain,65,70,CD Numancia
2000,800000,Joni Montiel,18,Spain,65,75,Rayo Vallecano
1000,550000,T. Cancellotti,25,Italy,65,68,Brescia
3000,550000,M. Lackner,26,Austria,65,68,FC Admira Wacker Mödling
2000,450000,M. Abarhoun,28,Morocco,65,65,Moreirense FC
6000,650000,J. Trejo,25,Argentina,65,66,Independiente
2000,725000,J. Laporte,23,France,65,74,Clermont Foot 63
2000,425000,Kweon Han Jin,29,Korea Republic,65,65,Jeju United FC
4000,500000,E. Upson,27,England,65,66,Milton Keynes Dons
3000,625000,L. Jäger,23,Austria,65,71,1. FC Nürnberg
3000,500000,Mandi,28,Spain,65,66,UD Almería
4000,725000,S. Murray,23,Republic of Ireland,65,71,Colchester United
4000,270000,J. Campbell-Ryce,34,Jamaica,65,65,Barnet
14000,850000,D. Davydov,22,Russia,65,74,Spartak Moscow
2000,375000,S. Arai,28,Japan,65,65,Kawasaki Frontale
2000,775000,Barros,24,Brazil,65,72,Ventforet Kofu
6000,475000,I. Ediev,29,Russia,65,66,FC SKA-Energiya Khabarovsk
1000,1200000,Z. Bytyqi,20,Norway,65,79,Viking FK
8000,700000,F. Raši_,25,Argentina,65,69,Arsenal Tula
1000,550000,M. Acosta,25,Paraguay,65,67,CD Once Caldas Manizales
3000,825000,Yoon Seung Won,22,Korea Republic,65,74,FC Seoul
1000,475000,C. Lanoas,25,Chile,65,65,CD Palestino
2000,550000,K. Murata,28,Japan,65,65,Shimizu S-Pulse
1000,400000,A. Annan,30,Ghana,65,65,HJK Helsinki
3000,500000,S. Wagstaff,27,England,65,66,Gillingham
3000,575000,A. Romero,27,Argentina,65,65,Montreal Impact
22000,850000,P. Lienhart,20,Austria,65,77,SC Freiburg
3000,775000,João Graça,22,Portugal,65,73,CD Feirense
5000,650000,P. Digby,22,England,65,72,Mansfield Town
1000,625000,A. Arrighini,27,Italy,65,66,Cittadella
8000,925000,D. Mancini,20,Argentina,65,76,Tours FC
4000,425000,K. Osborne,29,England,65,65,Grimsby Town
4000,650000,T. Naylor,26,England,65,67,Burton Albion
5000,475000,Edison Tarabai,31,Brazil,65,65,Al Batin
7000,675000,F. Schleusener,25,Germany,65,68,Karlsruher SC
1000,600000,J. Chabalala,25,South Africa,65,69,Orlando Pirates
1000,130000,P. Clarke,35,England,65,65,Oldham Athletic
4000,625000,B. Ni_aj,23,Slovakia,65,71,Osmanl_spor
1000,400000,R. Perticone,30,Italy,65,65,Cesena
2000,750000,J. Yueill,20,United States,65,72,San Jose Earthquakes
2000,575000,O. Eddahri,26,Sweden,65,65,AFC Eskilstuna
2000,625000,F. Furlan,26,Italy,65,66,Brescia
2000,750000,Francisco Afonso,20,Portugal,65,75,FC Paços de Ferreira
2000,675000,C. Songkrasin,23,Thailand,65,68,Hokkaido Consadole Sapporo
2000,550000,Y. Hasegawa,29,Japan,65,65,Shimizu S-Pulse
3000,775000,I. Moro,23,Ghana,65,73,Silkeborg IF
3000,210000,C. Villanueva,33,Argentina,65,65,Bahía Blanca
2000,210000,M. Burch,33,United States,65,65,Minnesota Thunder
2000,575000,K. Álvarez,25,Mexico,65,68,Tiburones Rojos de Veracruz
7000,375000,T. Mickel,28,Germany,65,65,Hamburger SV
2000,650000,Moon Sang Yun,26,Korea Republic,65,68,Jeju United FC
1000,600000,U. Germano,25,Italy,65,70,Vercelli
14000,750000,A. Tamay,24,Mexico,65,71,Lobos de la BUAP
3000,1000000,Isi Gómez,21,Spain,65,78,Granada CF
5000,525000,L. Gamba,30,Argentina,65,65,Unión de Santa Fe
2000,675000,Álex Craninx,21,Spain,65,75,Sparta Rotterdam
5000,400000,S. Laird,29,England,65,65,Forest Green
3000,425000,C. N'Toko,29,Belgium,65,65,NAC Breda
5000,650000,A. Riemann,25,Germany,65,67,LASK Linz
4000,600000,M. Catalán,24,Argentina,65,70,Estudiantes de La Plata
4000,550000,E. Marxen,26,Denmark,65,68,Randers FC
2000,425000,F. Liverstam,29,Sweden,65,65,Halmstads BK
1000,625000,J. Meza,23,Colombia,65,71,Águilas Doradas
1000,800000,Alex Pozo,18,Spain,65,75,Sevilla Atlético
1000,550000,J. Löhmannsröben,26,Germany,65,67,FC Carl Zeiss Jena
7000,950000,Z. Vanheusden,17,Belgium,65,82,Inter
4000,575000,Y. Barnawi,23,Saudi Arabia,65,68,Al Qadisiyah
2000,425000,K. Lejeune,32,France,65,65,AC Ajaccio
3000,400000,M. Palionis,30,Lithuania,65,65,SSV Jahn Regensburg
12000,375000,A. Fernández,29,Mexico,65,65,Necaxa
7000,800000,N. Jaadi,21,Morocco,65,73,Udinese
1000,450000,K. Moleko,27,South Africa,65,65,Kaizer Chiefs
1000,450000,J. Karlsson,28,Sweden,65,65,Jönköpings Södra IF
3000,725000,M. El Allouchi,22,Morocco,65,71,NAC Breda
2000,170000,A. Chambers,36,England,65,65,Walsall
3000,650000,M. Bossaerts,20,Belgium,65,72,KV Oostende
3000,350000,A. Revell,33,England,65,65,Northampton Town
5000,525000,K. Reid,29,England,65,65,Colchester United
1000,280000,R. König,34,Germany,65,65,FSV Zwickau
2000,400000,M. Marrone,30,Australia,65,65,Adelaide United
5000,475000,N. _ur_i_,31,Serbia,65,65,Randers FC
2000,350000,K. Rindarøy,31,Norway,65,65,Molde FK
3000,675000,Adri Castellano,23,Spain,65,73,Granada CF
2000,575000,C. Brown,23,Australia,65,69,Brisbane Roar
4000,650000,M. Busch,22,Germany,65,72,1. FC Heidenheim
1000,550000,E. Álvarez,28,Paraguay,65,65,CD Once Caldas Manizales
3000,425000,N. Schindelholz,29,Switzerland,65,65,FC Luzern
13000,700000,B. Smith,23,Australia,65,74,Bournemouth
4000,825000,M. Bareiro,22,Argentina,65,76,Defensa y Justicia
2000,675000,I. Groothuizen,20,Netherlands,65,75,ADO Den Haag
4000,575000,J. González,25,Mexico,65,69,Necaxa
