,Episode,Line,Character,Dialogue,Action
17557,110,160,finn,  Good luck catching those guys!,
17560,111,0,finn,  Word.,
17704,111,144,finn," This is the spot? Right here? ,  What was that?!","Serious, The Magi comes out of the ground, Finn and Jake don't see him"
17712,111,152,finn,  What the—This is very strange.,
17734,111,174,finn,[' Who in this world is sadder than the Ice King?'],"Ice King keeps talking to himself waving his hands while holding the book, book says something"
17740,112,5,finn, Okay!,
17743,112,8,finn," Hey, Preebs.",entering room
17745,112,10,finn, For sure. We'll do it.,
17751,112,16,finn, Holy--!,
17753,112,18,finn," Jake? Jake, Jake, Jake, Jake!",worried
17756,112,21,finn," Aah! Sorry, dudes--got no food! No... food! ,  Hey!",Lemon goat bites Finn's hand
17765,112,30,finn," Yeah. Cool, man. Hey, do you know where--?",
17767,112,32,finn," Wait, what?",
17769,112,34,finn, Yeah. What the heck's going on here?,
17771,112,36,finn," Whatever, Lemonjon. We've gotta give those dumb-butts these seeds.",
17775,112,40,finn," I don't know, but we gotta bust them out! Which way to the dungeon, Lemonjon?",
17778,112,43,finn," Thanks, man!",running to hole
17785,112,50,finn," Yo, Lemon-wipes!",opening door
17790,112,55,finn," Yeah, sure!",taking Jake's hand
17792,112,57,finn," Oh, sorry dude.",down the hall
17794,112,59,finn, Stay close to me.,opening door
17799,112,64,finn," All locked up! ,  There they are! Hey, Lemongrabs, we're here! We're gonna get you out, just hold tight!","ratting handle, looks through bars"
17803,112,68,finn," Probably the grossest one of all, too--beet red skin, barf, poopin' all its junk-sculpture.",
17805,112,70,finn," Lemongrabs, you're free!",
17812,112,77,finn, Are you saying you locked yourselves down here with all the food so you could eat it yourselves?,
17817,112,82,finn, Wha--?,
17833,112,98,finn," Look. We brought these seeds. ,  They're special candy seeds.",opens case
17841,112,106,finn," ...and all your boys, too!",
17843,112,108,finn, Come on. We'll take you to see Princess Bubblegum. She knows more about candy than anyone; she built a whole kingdom out of candy!,
17856,112,121,finn," What's going on, Lemongrabs?!",
17862,112,127,finn," Yaaaah! ,  What the--?","pants, looks down at Lemonjon's leg"
17864,112,129,finn, Jake! Are you alright?,
17866,112,131,finn, And he's too big to duke it out with! Unless...,gasps
17868,112,133,finn, No. We'll kick him in his heart 'til he's history. Those must have been Lemonjon's guts we saw before. His heart is his weak spot.,
17870,112,135,finn," Oh yeah, that's probably it. ,  Whoaaa! ,  Oh, man!","Jake stretches them over to the grate, Finn opens grate and climbs in, retches as liquid drenches him"
17872,112,137,finn,,grunting and punching the heart
17874,112,139,finn," Just smash it already, grandma.",
17877,112,142,finn," Oh, nice one, Jake.",sarcastically
17880,112,145,finn," Whoa, dang! ,  That Lemonjon turned himself all up into lemon candy! Man, that Lemonjon's all right.",picks up some candies
17883,112,148,finn," ...and I snatched this ,  out of the Lemon castle, boyee!",holds up formula
17892,113,6,finn, Yes! Woo! Woo!,
17895,113,9,finn, No fair! I have to take off my stuff.,
17904,113,18,finn," Yeah, dude.",
17908,113,22,finn, Didn't Lady tell you not to use the Sassage Flare?,
17910,113,24,finn," Well, don't abuse it man. 'Cause you're gettin'...",
17912,113,26,finn, 'Cause you're gettin' fat.,
17914,113,28,finn," Wah! ,  Whoa...",throws hat
17916,113,30,finn, Hey. Relax.,stops hat with foot
17919,113,33,finn," It's not my hat. It's, like, this other thing now.",
17921,113,35,finn," Yeah, but it's like, living now.",
17924,113,38,finn," Right. Maybe it's good he's alive. ,  You were a rad hat, and now you're a rad...little dude.",kneels down to hat
17926,113,40,finn," Yo, bro! Our eyes are down here. C'mon little dude. Let's go live life!",
17935,113,49,finn," BMO, this is Little Dude.",
17938,113,52,finn, Cribes!,
17943,113,57,finn," Little Dude, no! ,  You don't jump on heads. That junk is rude, Little Dude! You okay, BMO?",pulls Little Dude off of BMO
17945,113,59,finn," Sorry, BMO, he's just excited.",
17947,113,61,finn," Sorry, Little Dude, but I have to eat. ",Finn puts a fruit bowl on top of Little Dude to restrain him
17949,113,63,finn, Okay.,
17952,113,66,finn," Hey, Little Dude, y'all can get in on this if you promise to be good. ,  Only good babies get sassages.",mouth full
17956,113,70,finn,"[' Dude, he turned it into poo! This is poo now—smell it!']","picks up a sassage and sniffs it, retches"
17960,113,74,finn," Oh, little Deezy. What am I gonna do with you?",
17962,113,76,finn," Yeah, okay.",
17964,113,78,finn, Oh!,
17969,113,83,finn," Shhhh. Little Dude, you gotta chill. ,  Night-night. ","blows out candle, gets into bed with Little Dude"
17973,113,87,finn," Jake, wake up. Someone's on the house!",
17977,113,91,finn," Ugh. ,  No, no, no!",Little Dude escapes his grip
17979,113,93,finn," No, not on my head! Poo buns! Poo buns on my head! WAAAAAH!",gasps
17987,113,101,finn, Ninja.,in midair
17991,113,105,finn," What are you doing in our house, homey?",
17993,113,107,finn, Wha? What are you talking about?,
17995,113,109,finn," Evil magic donks, homey.",
17997,113,111,finn," Whoa, cool it, man. Let's just fix Little Dude.",
18008,113,122,finn, Little Dude! Little Dude!,calling
18015,113,129,finn," No, Little Dude!",
18017,113,131,finn, That's a bad Little Dude!,
18024,113,138,finn, Little Dude! You were supposed to be my buddy!,
18030,113,144,finn, How is he so strong?,
18043,113,157,finn, No! Not the Gumball Guardian!,
18084,113,198,finn, Poor Little Dude. He was just doin' it up the only way he knew how. It's not his fault he was created evil.,picks up his hat
18086,113,200,finn," Wizard, Mommy-magic this dude back to life.",
18091,113,205,finn," And this dude ,  is your pops.",points to Ancient Sleeping Magi of Life Giving
18093,113,207,finn, Be good to this dude.,hands hat to Ancient Sleeping Magi of Life Giving
18095,113,209,finn," Yup, that's the idea. Jake, looks like I need a new hat.",
18269,115,2,finn,  What's up?,
18282,115,15,finn,  What was that?,
18284,115,17,finn,"  Yeah, I heard.",
18286,115,19,finn,"  Yeah, I heard. ",
18291,115,24,finn,"  Whoa, you best not be believing that whack bunk. I bet he's trying to make your life bad, so you'll think you're evil. But you're really not!",
18293,115,26,finn,  Dungeons.,
18295,115,28,finn,"  Let's have a good time in a dungeon or something, that always clears my head that reminds me what's what.",
18297,115,30,finn,"  No, that will show you not to worry so much, because you're already good in here.",
18300,115,33,finn,  Dungeons!,
18307,115,40,finn,"  Yeah... a lot of times the entrances are hidden, so you gotta look under rocks and stuff for a secret switch.",
18309,115,42,finn,  Sometimes it takes a while... Hmm.,
18313,115,46,finn,  Really?,
18315,115,48,finn,  Yes!,
18317,115,50,finn,  Ooh... gauntlet.,
18319,115,52,finn,"  No prob, Bob, light this for me, will ya? ",She does so.
18321,115,54,finn,"  Oh...well, I guess torches are just cool for dungeons, you know?",
18323,115,56,finn,  Yeah...I like to hang on to it.,
18325,115,58,finn,  Really? I feel like it's trying too hard. Gold piece! ,Grabs a gold piece he found on the ground and puts it in his pocket
18327,115,60,finn,  Whoa! Whoa!,
18332,115,65,finn,"  Haha no, no, wait a sec. Sorry, one second.",
18334,115,67,finn,"  He might have an important loot on him, so we don't wanna just burn him up; plus it's a little cruel even for an evil guy, check this out. ,  RRRAAA, you're gonna surrender!",Threatens him with his sword
18337,115,70,finn,  I shall grant thee clemency! If you do the splits! Do the splits!,
18339,115,72,finn,"  Do the splits, thou milk-livered maggot pie!",
18341,115,74,finn,"  See, a lot of times you can overpower these guys with confidence.",
18343,115,76,finn,  Got any loot on ya?,
18345,115,78,finn,  Ha! See? This would've been burned!,
18347,115,80,finn,  What else you got?!,
18349,115,82,finn,"  Hah, hah! I knew it. ,  Oh, cram it to the butternuts, it's locked!",The chest won't open
18351,115,84,finn,"  Hahaha, alright. We can come back to that later. ,  Hey, are you having fun?",To FP
18356,115,89,finn,"  WHOA, whoa!",
18358,115,91,finn,"["" That's not how you do things in a dungeon. You gotta sneak.""]",chuckles
18360,115,93,finn,"  Like this. ,  And you gotta look around. ","Starts walking and crouches. FP follows behind and does the same, He does so., They reach a wall and Finn stops FP. Finn peeks from the corner and sees a bigger skeleton guard. The camera shifts to the chandelier and to the rope holding it."
18361,115,94,finn,"["" Ok, this guy's too big to intimidate, but I have a plan. First, you shoot some fire at that rope, the chandelier falls, we distract the monster and we run in. Element surprise.""]",whispers
18363,115,96,finn,  You ready?,
18365,115,98,finn,"[' Before we go in, how good are you at quietly throwing a tiny bit of fire?']",Takes a step and retracts
18367,115,100,finn,"  Like on a scale of 1 to 100, how good are you at quietly throwing a tiny bit of fire at a rope 50 feet away?",
18369,115,102,finn,  Scale of 1 to 100.,
18371,115,104,finn,[' 42?!'],Normal voice
18373,115,106,finn,"["" Well, that's cool, that's cool. Just try to hit that rope.""]",Whispers
18376,115,109,finn,"  Yeah, I'm good. it's a hologram.",
18378,115,111,finn,"  Yeah, although it does raise the question. Why would someone go through the trouble of setting up a hologram? Unless... they've hidden something in this room? ",Crouches down on the floor and starts looking.
18380,115,113,finn,"[' Hey, wake up.']",sees FP sleeping
18382,115,115,finn,  Look what I found. ,Holds up a key.
18386,115,119,finn,"  We don't have to, we get to! Come on. ",walks away.
18388,115,121,finn,  See? That didn't take long at all. Now we get treasure.,
18390,115,123,finn,"["" Nope. This key's for something else. Haha. Oh, well. ""]","Sticks key through the keyhole and doesn't open, Continues singing."
18393,115,126,finn,  See? That's where I found the key.,
18395,115,128,finn,  Snapdragons!!,
18398,115,131,finn,"  No, no, we shake them down first, remember?",
18400,115,133,finn," Man. Ooh, hold on. ,  Ha ha! It's another key! Now we get to go back to the beginning! ,  Whoohoo!","Rummages through pile of ashes, Finds another key and holds it up., Runs."
18402,115,135,finn,[' What? Why?'],Stops running
18404,115,137,finn,"  What? No, wait, that's... no! Uhh, hey, you know what? Let's do things your way.",
18406,115,139,finn,"  Yeah. I've been acting an uncouth lout, m'lady. ,  Okay, so there's a door over there. What do you wanna do?",Throws torch in the water
18408,115,141,finn,"  Okay, that worked. Now what do you do...",
18410,115,143,finn,"  Uhh... ,  Good- good job, FP.",Scared
18412,115,145,finn,"  Oh, Sham man. It's the legion of Goo Skulls! Uh, how do you defend?",
18414,115,147,finn,  Fire burn goo.,
18416,115,149,finn,"  Woh. ,  Whoa! Flame Princess!!","Giant Goo Skull comes out from behind Finn and grabs him, Terrified"
18418,115,151,finn,  Ahh!!!,
18421,115,154,finn,"["" Help me! But don't use fire because you'll- mphh! ""]","Being spun around by goo, Muffled by the goo"
18428,115,161,finn,  Hot Daniel! Flame Princess. I thought you were going to burn me alive.,
18432,115,165,finn,"  Dungeons totes clear your head, right?",
18434,115,167,finn,[' Uhhhh.....'],Confused
18436,115,169,finn,"  Oh yeah, cool.",
18438,115,171,finn,  Maybe next time we should just go to like... a farmer's market.,
18440,115,173,finn,"  Hmm, try this key.",
18442,116,0,finn,  What is it?,
18444,116,2,finn," Finn to Prubs, come in, Prubs.",
18446,116,4,finn," So far, no sign of the Bird Man. Why's this guy so dangerous?",
18448,116,6,finn, Where are you?,
18451,116,9,finn, Maybe I'll go hang out with them after this biz.,
18454,116,12,finn," Okay. Bye, PB.",
18459,116,17,finn, Whoa.,
18461,116,19,finn, Huh? Where am I?,coughs
18463,116,21,finn," So are you, like, the Great Bird Man?",
18470,116,28,finn, Whoa. What happened there?,
18477,116,35,finn, What are you doing?,
18481,116,39,finn," Oh, uh, me and Jake will follow you. Jake needs to stretch out and stuff.",
18484,116,42,finn," It's crazy, right?! The way dude's eyeballs are just hangin' there.",
18486,116,44,finn," Yeah, me too!",
18488,116,46,finn," I don't know. But if he does, I'm gonna find out.",
18497,116,55,finn, Now's our chance to do some snooping.,
18499,116,57,finn," Jake! ,  I found his weapon stash!",Finn motions him over towards a small cave.
18501,116,59,finn, What is it? A fighting stick? A dagger?,
18504,116,62,finn, You can read those bumps with your fingers?,
18506,116,64,finn, Your ex was blind?,
18508,116,66,finn, Maybe. Let's keep looking.,
18511,116,69,finn, Doy!,while falling:
18513,116,71,finn, Oh!,
18518,116,76,finn, Wha—?,
18521,116,79,finn, Where'd you learn that heal spell?,
18523,116,81,finn, Dirt?,
18525,116,83,finn," Listen, man. About your eyes.",
18527,116,85,finn," Alright, but not— ",Jake turns Finn to have a semi-private conversation with him.
18529,116,87,finn," Dude, he's changed!",
18531,116,89,finn," Uh, yeah, man. Isn't it kind of obvi?",
18536,116,94,finn," Dude, your eyes are in your beard.",
18538,116,96,finn," No, man, they're right here. ","Finn takes Xergiok's hand and puts them on his eyes. Xergiok pulls where Finn guided him, pulling out his eyes."
18540,116,98,finn, We didn't tell you 'cause we thought you might still be a wong lord!,
18542,116,100,finn," No, man.",
18560,116,118,finn," How's it feel, man?",
18568,116,126,finn," Yeah, sure, man.",
18572,116,130,finn, That idea is terrible.,
18582,116,140,finn," Come on, man. Are you for real?",
18589,116,147,finn," Okay, man. ",Finn puts his eyes back on his beard where they were before.
18594,116,152,finn," Dude, that sucks. I hope he finds peace, or something.",
18599,116,157,finn, Should we save him?,
18602,116,160,finn, What the—?,
18605,117,2,finn," Hm! ,  Whoa! ","Finn jumps sideways, Marceline runs ahead"
18610,117,7,finn,"[' Marceline, why did you ask ancient chumps to play basketball?']",Is dribbling the ball
18615,117,12,finn,  Lay it on us!,
18744,117,141,finn,"  Whoa, mama",
18752,118,3,finn,"  Alright, give me a second.",
18755,118,6,finn,"  Man, I don't have patience for this animation junk. Whoever does this must have no life whatsoev—",
18757,118,8,finn,  Oof... Why did I do that?,
18760,118,11,finn,"  Hm, I don't think so.",
18762,118,13,finn,  Who's it from?,
18766,118,17,finn,"  Escape, Jake! Escape!",
18769,118,20,finn,  Whaa? Aaaah!,
18777,118,28,finn,  The computer went...,
18779,118,30,finn,  The email...,
18781,118,32,finn,  Brick window with the plastic...,
18783,118,34,finn,  Banana hummingbird...,
18786,118,37,finn,"  How do we stop the computer worm, you pile of goo?!",
18788,118,39,finn,  STOP TALKING LIKE A NERD AND GIVE IT TO US STRAIGHT!!!,
18791,118,42,finn,"  Don't worry, Princess, we'll take care of this thing.",
18793,118,44,finn,  Okay! ,Runs away with Jake
18795,118,46,finn," Don't worry, guy! I got you! ,  YEOW! JAKE, HELP ME!!!","Grabs Mr. Cupcake, Mr. Cupcake disappears."
18797,118,48,finn,"  Come here, guy!",
18799,118,50,finn,"  I'm trying to help you, yo!",
18801,118,52,finn,"  But... No!! Jake, this isn't working! We need a plan.",
18804,118,55,finn,  THAT PLAN'S NOT GOOD!,
18807,118,58,finn,"  Then talk to it I will. ,  Hey man, tell me the haps.",Grabs a bit of glitch static from the ground.
18814,118,65,finn,"[' Jake, I think I found a way in!']",Digging in the static.
18816,118,67,finn,  There's no time! ,Grabs Jake and enters a portal.
18818,118,69,finn,  AAAAH... AAH!!!,
18822,118,73,finn,  Huh? Ice King and Bubblegum?,
18824,118,75,finn,  Jake! Don't touch anything!,
18826,118,77,finn,"  I think the shiny things are the building blocks of the universe, man! They store every single thing that is a thing back on thing!",
18828,118,79,finn,"  Jake, what is it?",
18840,118,91,finn,"  Come on, Jake, pull it together, man.",
18842,118,93,finn,  Jake?,
18850,118,101,finn,"  That's the spirit! ,  ADVENTURE TI--!!! ,  Oh, my gams!! Hold up, dude, my body's changing! ","Grabs sword., Finn's legs starts fading."
18861,118,112,finn,  ,voice is muffled by the sword
18865,118,116,finn,  We gotta get those things... outta his stomach.,
18868,118,119,finn," Ugh, yeah. ,  Yeah!!","disgusted, confidently"
18873,118,124,finn,  You should wash your mouth! ,They start walking as Ice King is seeing the land of Ooo reloading.
18876,118,127,finn,  Seems like it. ,
18878,118,129,finn,"  Hey, have you seen the princess anywhere?",
18884,118,135,finn,"  Ahem... Hey, Bubs, where's the Ice King? I wanna kick his boingloings! ",
18888,119,3,finn,  Uuf! ,BMO falls on his head and CMO falls on BMO's head.
18890,119,5,finn,"  Come on, Jake...",
18892,119,7,finn,"["" I guess I'm just thinking about Flame Princess. I told her a joke the other day and she didn't even laugh or anything. I guess it's over between us.""]",sigh
18895,119,10,finn,"  Yeah right, BMO. More like she used up all her laughs on some other guy's jokes probably. Man, having a girlfriend is hard.",
18898,119,13,finn,"  I don't even know what you guys are talking about. I think I just need some alone time. ,  Gotta let my mind fester a bit, you know? I'll be back in a little while. ","Grabs his cup and sword., Finn enters the pillow fort."
18900,119,15,finn,"  Man, this looked smaller from the outside. What's this now? What the?! Jake, what's in here?! Jake?",
18902,119,17,finn,"  Oh, whoa! ,  Did Jake build this part too? That guy needs some more girlfriends or something.",birds chirping
18903,119,18,finn,"["" Hey Jake! You need more girlf--what the...? Door's gone?""]","Turns towards the door, which has inexplicably disappeared."
18904,119,19,finn,"  Hmm, maybe there's another door in yonder pillow town. ,  I don't get this at all.",Slides towards pillow town
18907,119,22,finn,  Huh?,
18910,119,25,finn,"  Now this, I understand! ,   Oh. That's it?","Battle yell, Finn leaps toward the dragon and nicks its neck with his sword. Pillow feathers spill out as the dragon screams in pain. The dragon collapses into little more than pillows, feathers and blankets."
18914,119,29,finn,"  Hey, uh, how's it going?",
18916,119,31,finn,"  Hah, it's nothing; I kill things all the time.",
18920,119,35,finn,  ,sighs then sits down.
18922,119,37,finn,"  Oh, hey there... Um, you can just call me Finn if you want.",
18924,119,39,finn,"  Oh, uh...",
18926,119,41,finn,"  Heh. Oh, uh, your dad seems fun.",
18929,119,44,finn,"  Oh, well... ,  I...have a girlfriend. ","a pillow bird flies and lands beside him., pillow bird chirps"
18931,119,46,finn," Yeah, okay! ,  This place is weird.","laughs nervously, The pillow bird poops a little pillowcase on Finn's shoulders."
18933,119,48,finn,"  Naah, just regular poo.",
18935,119,50,finn,"  Eh, yeah, i-it's really cool. Where I come from, I live with my best friend, who's my brother. And he's a dog.,  We fight stuff; it's cool. It's really different than here. I mean, where I'm from, blankets and pillows are used for bedding.",chuckles
18937,119,52,finn,[' Heh heh uh.'],Blushes then laughs nervously.
18939,119,54,finn,"  Ah man, it's been nice, Roselinen. But I gotta get back to my home. ,  Quilton, I need your help to find a portal to my home world.",turns to Quilton.
18943,119,58,finn,[' It tastes... like... a pillow...'],"eating a pillow, muffled"
18956,119,71,finn," Alphanumeric! ,  Pillow sheep! You have more fluff than sense! ","chopping pillow trees with his sword and looking quite older., laughs, hugs the pillow sheep, kisses the pillow sheep then kicks it."
18958,119,73,finn,"  Oh! ,  What is this! ,  A pack of fearsome pillow goblins?!","laughs., carried Bonnie."
18961,119,76,finn,"  Oh, they have, have they? ,  Tiny pillows. Mmm mmm mm mmm.",grabs one tiny pillow.
18963,119,78,finn,"["" Darling, you've outdone yourself.""]",to Roselinen
18970,119,85,finn,"  What is it, Quilton?",
18972,119,87,finn,"  Yes, of course.",
18974,119,89,finn,  Oh my glob.,
18977,119,92,finn,"  Quilton, I need to find that door. ",Roselinen makes a very sad face
18984,119,99,finn,[' Hello?'],"looking older than his last appearance, goes in a tent where Rasheeta is."
18986,119,101,finn,"  Are these The Great Abracadabra Mountains? And are you Rasheeta the Great Oracle, dweller of said mountains?",
18988,119,103,finn,"  Yes, I've searched for decades--how did you know?",
18990,119,105,finn,  Does it say how I get home?,
18992,119,107,finn,  Uh... yeah!,
18994,119,109,finn,"  So there is another way to... ,  Oof...",covers his nose.
18996,119,111,finn,  Oh... ,"coughing from the stench of Rasheeta's farting, he leaves the tent."
18999,119,114,finn,"  I think so, but the oracle spoke in riddles. ,  Gonna have to fester on this one for a bit...",stroking his beard
19002,119,117,finn,"  Hmm, that reminds me, Roselinen, of something Jake told me just before I came to this world.",
19005,119,120,finn," Man. How did he see it all coming so clearly? ,  Come on, everyone. Pack your things, we're going home.","to himself, to family"
19014,119,129,finn,[' Wha—where?'],weakly saying.
19016,119,131,finn,  I'm... alright.,
19019,119,134,finn,[' I remember... back... when I was dad.'],strokes his beard
19021,119,136,finn,"[""\xa0I ain't dad yet!\xa0Oh, no, wait! Here it comes! Woo hoo hoo hoo hooooo, BOY! ""]","snaps and puts his hands up, Camera angle from Finn's eyesight. The screen turns into a beautiful mirage but then shatters as Finn is amazed. He bounces off of a repulsive red creature's tongue and flies around it."
19022,119,137,finn,  HUP! ,
19025,119,140,finn,"  Huh? Oh. Uhh, I don't know, man. I just had the number one wildest dream.",
19027,119,142,finn,"  Yeah! I was-- ,  Hello? Oh hey! Oh. ,  Yeah, thanks! Yeah, okay, bye. ,  That was Flame Princess. She said she didn't get my joke until just now and that it's really funny and awesome!","His phone starts to ring, then he answers it., chuckles, hangs up"
19030,119,145,finn,  What dream?,
19032,119,147,finn,  Huh?,
19034,119,149,finn,  ,shrugs
19036,120,0,finn,[' Pfft!'],shrugs again and blows a raspberry
19137,120,101,finn," Jake, is that you at the door?",From inside the house
19139,120,103,finn, I call 'not answer the door' then.,
19155,120,119,finn, What's so funny?,
19157,120,121,finn," Oooh, heh haha, that is pretty funny.",
19170,121,2,finn,"  Ow ow, ow! ",Seethes then blushed.
19172,121,4,finn,"  Man, I wish I had my other sock, this callous is gonna junk up my good time at PB's potluck.",
19174,121,6,finn,  You look like a target.,
19179,121,11,finn," Bounce House! Come on, Jake! ,  Bounce bounce! ","He sees a bounce house, Shrieks, Goes infront of Bounce House Princess., Prepares to climb in."
19181,121,13,finn,"  Oh my goodness, sorry Bounce House Princess, I didn't know it was you.",
19183,121,15,finn,"["" Mmm that's okay. Come on, Jake. Let's, eh, go party.""]",Embarrassed and blushing
19185,121,17,finn,"[' Hello. Hello, Princess Princess Princess, hey, Embryo Princess, heeey youuu.']",Heading towards a table.
19189,121,21,finn,  I've been going foot nude in the shoe and now I got this turbo huge callous. ,Stretches up leg to show Princess Bubblegum.
19192,121,24,finn,"  Mysterious. Oh, brought something for the party!",
19194,121,26,finn,  Bam! Soda!,
19196,121,28,finn,  It's warm and I shook it up... a lot.,
19215,121,47,finn,  ,Stops dancing to see a cat with a lemon on its back.
19217,121,49,finn,"  Awww, hey Jake, check out this cat.",
19219,121,51,finn,  Do you like fresh lemon in your ice tea?,
19221,121,53,finn,  ,Squeezes lemon drops into Jake's drink.
19248,121,80,finn,"  Hmm, hey, Gunter, let me get one of them socks.",
19250,121,82,finn,  Oh... ow.,
19289,121,121,finn,"  Ice King, don't make me stand up and whomp you!",
19291,121,123,finn,  That's.... IT! ,Takes off sock less shoe. He back flips on top of Bounce House Princess and grabs onto the Ice King. He then puts his shoe on his nose.
19293,121,125,finn,"  Why are you doing this, IK?!",
19297,121,129,finn,  Only if you promise to stop acting nanners.,
19302,121,134,finn,"  Whoa, cool.",
19304,121,136,finn,  Awesome.,
19310,122,3,finn, Whoa whoa whoa.,Sword drawn
19314,122,7,finn," Hey, it's okay BMO. Look, Jake and I will make you a funny face. ","As Finn holds Jake, Finn stretches his mouth and he and Jake make noises."
19317,122,10,finn, What the?! ,"Muffled, Muffled screaming"
19325,122,18,finn," Yeah, man.",
19328,122,21,finn," Man, we should do it to! Do his thing and spread the good will!",
19330,122,23,finn, Yeah!,Laughs
19332,122,25,finn, Finn the Human!,Neighs
19334,122,27,finn, Finn!,Neighs
19338,122,31,finn, I think we should find an easier person to cheer up. It was a mistake to visit a funeral.,Whispering
19348,122,41,finn, That is so perfect!,
19351,122,44,finn," Man, what's he doing that we're not? We just gotta figure that out.",
19355,122,48,finn, You're documenting our creative flow in case we make a breakthrough.,
19357,122,50,finn, Let's check the video.,
19365,122,58,finn," Yeah, right there, speed it up.",
19367,122,60,finn, Slow it down.,
19369,122,62,finn,,Takes notes and laughs.
19372,122,65,finn," Good, good, happy is what we want.",
19374,122,67,finn," Yeah, it's good, ,  but if we want to be ""James Baxter"" good, we gotta to go deeper.",stands up
19377,122,70,finn," Hey, hey man!",Yelling
19379,122,72,finn, Where is the studio to make the best feel-good sound?,
19382,122,75,finn, Hold up.... This way... ,"they continue, walking along the paths. Finn gasp as they arrive at the room they are looking for."
19387,122,80,finn," Right here. ,  Good!",Finn does the same gesture.
19389,122,82,finn," We know to figure out how to make our sound... ,  force happiness into the listener!",hands clipboard to Jake
19393,122,86,finn, Check our data?,
19395,122,88,finn, Maybe it should be higher?,
19397,122,90,finn, Let's both agree that that sound belongs there. ,"Points with a pencil, Steps back as Jake walks up."
19399,122,92,finn," Hmm, something's missing. ","He stares at the board, on which are pictures of James Baxter on his ball. The camera zooms in on the ball."
19402,122,95,finn," Yeah, James Baxter don't just got his catch phrase, he has his beach ball bizz!",
19404,122,97,finn," We just crushed it, homie.",
19406,122,99,finn," You're building it up too much. ,  Let's just do it.","Also puts down clipboard, yawns"
19422,122,115,finn," Oh good, you're still here! Hey, I know we were here yesterday ,  and we came off as inappropriate... ","Out of breath, coughs, Jake cuts him off."
19424,122,117,finn," Right, okay! ","They start with the trumpet act and this causes the attendees to laugh. Suddenly the coffin shakes as Finn and Jake preform their balancing act. They stop and stare at the grave. The coffin opens and there appears a skeleton, Jake winces and the skeleton rattles and shakes then leaps out of the grave and collapses in front of (what appears to be) its portrait. The attendees see this and quickly run away screaming as the skeletal remains roll on the ground."
19426,122,119,finn,[' Dude!! '],"Finn looks down to see the skeleton maneuvered itself between his legs., Finn punches its skull."
19429,122,122,finn," Jake, come on man, I need some help!",
19432,122,125,finn," Whoa, ,  it's milk!",licks arm
19437,122,130,finn," Don't worry, Jake, I'll block this one!",Sees the ghost getting ready to punch them again and puts his arms up.
19439,122,132,finn, What?,
19444,122,137,finn," Well, sort of.",
19452,123,3,finn," ""Me too"" ","Smiles and reaches behind his pillow to grab a paper of his own, he holds it up, it states."
19454,123,5,finn," ""Last night when I saw you writing yours"".",Writes back
19456,123,7,finn," ""Bringeth it on, sir!""",Accepts
19459,123,10,finn," ""Whoever talks first will be really disappointed""",
19461,123,12,finn," ""Yes, but only the ones we write in the next thirty seconds""",
19465,123,16,finn,,"Pushes his plate away and looks at his signs, but before he can choose one Jake flips over another sign."
19467,123,18,finn," ""Hi, Jake""",Finally picks a sign only to have it state
19469,123,20,finn," ""Thanks, Jake"", ""That's funny, Jake"", ""Nice catch, Jake"", ""Go get'm Jake!"" ,  ""You the man, Jake!"" ,  ""I love you, Jake"". ","Still appearing annoyed he shuffles through his signs again, only getting the following, and finally,, complete with thumbs up and smiley face., He instead flips to another sign that is revealed to be, Jake reacts to this by squishing his cheeks and pursing his lips with affection."
19474,123,25,finn,,"Pokes Jake on the shoulder, he then points to his mouth and then at BMO, who is still confused. Finn then makes kissy lips and points in BMO's direction again."
19484,123,35,finn," ""Of course not, man"". ",Jake puts a skull on his signs and gives Finn one final stare before heading to the wall.
19494,123,45,finn," ""Jake, what are you implying? That I would touch your signs after being expressly forbidden to do so?"". ",He shuffles them back and Jake is still frowning.
19496,123,47,finn," ""Jake rules!"", ,  ""What're we gonna do..."" ,  ""about BMO?""","Follows him and shows him a sign that states, this gets a smile., Finn then shows another sign, flips"
19498,123,49,finn," ""What?""",Flips a sign
19500,123,51,finn, ???,Flips a sign with
19516,123,67,finn," Oh, I win! ,  you're so disappointed. ","Finn pumps his fist in triumph, sighs, Laughs."
19518,123,69,finn," We were just playing a game, BMO. It all started this morning when Jake made a sign that said-",
19604,124,83,finn," Hey, PB, ,  what's up?",Sits down
19606,124,85,finn," PB, who's the new guy?",
19608,124,87,finn," Hey, man. ",Gets the map
19610,124,89,finn," Oh, cool. That's cool—you're dating, that's coool. See ya, Princess.",
19612,124,91,finn," What'd ya think of that Braco guy? I mean, he seems kinda weird ,  and passive and baby lambish ,  and too unheroic for Peebs. ,  And then I smashed that peach!","Faces Jake, Jake panics and is trying to tell Finn that Braco is behind them, Looks behind him and is shocked"
19614,124,93,finn, That road you're on leads to nowhere. ,Hands the map to Braco
19709,125,16,finn,"  Ice King, get out of Princess-",
19887,126,64,finn," Hey BMO, where's Jake?",
19889,126,66,finn," OK, BMO.",laughing
19891,126,68,finn, You wanna join my primitive noise band? ,Plays trumpet
19893,126,70,finn, Pssssh! ,"Finn starts to play the instruments randomly, making weird noises and smashing them"
19993,127,13,finn, Ooooh!,
19997,127,17,finn, Pssst. She's going back!,whispering
