artista,nombre,ironhacker,letra
C2C,Happy,1183037273,"[Produced by Pharrell Williams]

[Verse 1]
It might seem crazy what I'm 'bout to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way

[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

[Verse 2]
Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn ya, I'll be just fine (Yeah!)
No offense to you, don’t waste your time, here's why

[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

[Bridge]
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said

[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

[Bridge]
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said...

[Chorus]
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do"
Billy Joel,We Didn't Start the Fire,11124266126,"[Verse 1]
Harry Truman, Doris Day
Red China, Johnnie Ray
South Pacific
Walter Winchell, Joe DiMaggio
Joe McCarthy, Richard Nixon
Studebaker, Television
North Korea, South Korea
Marilyn Monroe
Rosenbergs, H-Bomb
Sugar Ray, Panmunjom
Brando, The King And I,
And The Catcher In The Rye
Eisenhower, Vaccine
England's got a new queen
Marciano, Liberace
Santayana goodbye

[Chorus]
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it

[Verse 2]
Joseph Stalin, Malenkov
Nasser and Prokofiev
Rockefeller, Campanella
Communist Bloc
Roy Cohn, Juan Peron
Toscanini, Dacron
Dien Bien Phu Falls, ""Rock Around the Clock""
Einstein, James Dean
Brooklyn's got a winning team
Davy Crockett, Peter Pan
Elvis Presley, Disneyland
Bardot, Budapest, Alabama, Khrushchev
Princess Grace, Peyton Place
Trouble in the Suez

[Chorus]
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it

[Verse 3]
Little Rock, Pasternak
Mickey Mantle, Kerouac
Sputnik, Zhou En-lai
Bridge On The River Kwai
Lebanon, Charles de Gaulle
California baseball
Starkweather Homicide
Children of Thalidomide
Buddy Holly, Ben-Hur
Space Monkey, Mafia
Hula Hoops, Castro
Edsel is a no-go
U-2, Syngman Rhee
Payola and Kennedy
Chubby Checker, Psycho
Belgians in the Congo

[Chorus]
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it

[Verse 4]
Hemingway, Eichmann
Stranger in a Strange Land
Dylan, Berlin, Bay of Pigs invasion
Lawrence of Arabia, British Beatlemania
Ole Miss, John Glenn
Liston beats Patterson
Pope Paul, Malcolm X, British Politician sex
J.F.K. blown away
What else do I have to say?

[Chorus]
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it

[Verse 5]
Birth control, Ho Chi Minh
Richard Nixon back again
Moonshot, Woodstock
Watergate, punk rock
Begin, Reagan, Palestine
Terror on the airline
Ayatollahs in Iran
Russians in Afghanistan
Wheel of Fortune, Sally Ride
Heavy metal suicide
Foreign debts, homeless Vets
AIDS, crack, Bernie Goetz
Hypodermics on the shores
China's under martial law
Rock and Roller cola wars
I can't take it anymore

[Chorus]
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
But when we are gone
It will still burn on, and on
And on, and on

[Outro]
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
We didn't start the fire
It was always burning
Since the world's been turning
We didn't start the fire
No, we didn't light it
But we tried to fight it
We didn't start the fire
It was always burning
Since the world's been turning"
Alphaville,Forever Young,11124266126,"[Verse 1]
May the good Lord be with you
Down every road you roam
And may sunshine and happiness
Surround you when you're far from home
And may you grow to be proud
Dignified and true
And do unto others
As you'd have done to you

[Chorus]
Be courageous and be brave
And in my heart, you'll always stay
Forever young, forever young
Forever young, forever young

[Verse 2]
May good fortune be with you
May your guiding light be strong
Build a stairway to Heaven
With a prince or a vagabond

[Chorus]
And may you never love in vain
And in my heart you will remain
Forever young, forever young
Forever young, forever young
Forever young, forever young
Yeah
[Instrumental Break]

[Verse 3]
And when you finally fly away
I'll be hoping that I served you well
For all the wisdom of a lifetime
No one can ever tell

[Chorus]
But whatever road you choose
I'm right behind you, win or lose
Forever young, forever young
Forever young, forever young
Forever young, forever young
For-Forever young, forever young"
The Alan Parsons Project,Eye In The Sky,11124266126,"[Verse 1]
Don't think sorry's easily said
Don't try turning tables instead
You've taken lots of chances before
But I ain't gonna give anymore
Don't ask me
That's how it goes
'Cause part of me knows what you're thinking

[Verse 2]
Don't say words you're gonna regret
Don't let the fire rush to your head
I've heard the accusation before
And I ain't gonna take any more
Believe me
The sun in your eyes
Made some of the lies worth believing

[Chorus]
I am the eye in the sky
Looking at you
I can read your mind
I am the maker of rules
Dealing with fools
I can cheat you blind
And I don't need to see any more to know that
I can read your mind (looking at you)
I can read your mind (looking at you)
I can read your mind (looking at you)
I can read your mind
[Verse 3]
Don't leave false illusion behind
Don't cry, I ain't changing my mind
So find another fool like before
Cause I ain't gonna live anymore believing
Some of the lies while all of the signs are deceiving

[Chorus]
I am the eye in the sky
Looking at you
I can read your mind
I am the maker of rules
Dealing with fools
I can cheat you blind
And I don't need to see anymore to know that
I can read your mind (looking at you)
I can read your mind (looking at you)
I can read your mind (looking at you)
I can read your mind

I am the eye in the sky
Looking at you
I can read your mind
I am the maker of rules
Dealing with fools
I can cheat you blind
And I don't need to see anymore to know that
I can read your mind (looking at you)
I can read your mind (looking at you)
I can read your mind (looking at you)
I can read your mind"
The 1975,Somebody Else,11124266126,"[Verse 1]
So I heard you found somebody else
And at first, I thought it was a lie
I took all my things that make sounds
The rest I can do without

[Chorus]
I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else (Else, else...)

[Post-Chorus]
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

[Verse 2]
And c'mon baby (I know)
This ain't the last time that I'll see your face
And c'mon baby (I know)
You said you'd find someone to take my place (Place, place)

[Pre-Chorus]
I just don't believe that you have got it in you
'Cause we are just gonna keep “Doin' it” and every time
I start to believe in anything you're saying
I'm reminded that I should be gettin' over it

[Chorus]
I don't want your body
But I hate to think about you with somebody else
Our love has gone cold
You're intertwining your soul with somebody else
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
No, I don't want your body
But I'm picturing your body with somebody else (Else, else...)

[Post-Chorus]
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body
I don't want your body, I don't want your body

[Bridge]
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone
Get someone you love?
Get someone you need?
Fuck that, get money
I can't give you my soul, 'cause we're never alone

[Chorus]
I don't want your body (I don't want your body)
But I hate to think about you with somebody else
(I don't want your body)
Our love has gone cold
You're intertwining your soul with somebody else
(I don't want your body)
I'm looking through you
While you're looking through your phone
And then leaving with somebody else
(I don't want your body)
No, I don't want your body (I don't want your body)
But I'm picturing your body with somebody else
(I don't want your body)"
The Midnight,Los Angeles,11124266126,"[Verse 1]
Fire on the beach
Face to the sky
The stars dance around like gods in disguise
The gold silhouette
You take off your clothes
And my heart feels the weight of all I don't know

[Pre-Chorus]
Memories and mountain tops
Drunk on Sunset Boulevard
With the city of angels singing on
Maybe this is just a dream
And maybe we are still asleep
But I, I will miss you when I'm gone

[Chorus]
Flickers of the canyon fire
Its hands raised like a gospel choir
If we live forever, let us live forever tonight
Helicopters against the moonlight
Our holy mother of the midnight
And if we live forever, let us live forever tonight

[Verse 2]
Tomorrow we'll go
Back to our lives
With sand in our skin and sun in our eyes
But I know the truth
I've seen the signs
And I've seen the golden gods in disguise

[Pre-Chorus]
Memories and mountain tops
Drunk on Sunset Boulevard
With the city of angels singing on
Maybe this is just a dream
And maybe we are still asleep
But I, I will miss you when I'm gone

[Chorus]
Flickers of the canyon fire
Its hands raised like a gospel choir
If we live forever, let us live forever tonight
Helicopters against the moonlight
Our holy mother of the midnight
And if we live forever, let us live forever tonight

[Instrumental Break]

[Chorus]
Flickers of the canyon fire
Its hands raised like a gospel choir
If we live forever, let us live forever tonight
Helicopters against the moonlight
Our holy mother of the midnight
And if we live forever, let us live forever tonight
Flickers of the canyon fire
Its hands raised like a gospel choir
If we live forever, let us live forever tonight
Helicopters against the moonlight
Our holy mother of the midnight
And if we live forever, let us live forever tonight"
BENEE,Supalonely,11124266126,"[Chorus: BENEE]
I know I fucked up, I'm just a loser
Shouldn't be with ya, guess I'm a quitter
While you're out there drinkin', I'm just here thinkin'
'Bout where I should've been
I've been lonely, mmh, ah, yeah

[Verse 1: BENEE]
Water pouring down from the ceiling
I knew this would happen, still hard to believe it
Maybe I'm dramatic, I don't wanna seem it
I don't wanna panic

[Pre-Chorus: BENEE]
I'm a sad girl in this big world, it's a mad world
All of my friends know what's happened, you're a bad thing (Ah)

[Chorus: BENEE]
I know I fucked up, I'm just a loser
Shouldn't be with ya, guess I'm a quitter
While you're out there drinkin', I'm just here thinkin'
'Bout where I should've been
I've been lonely, mmh, ah, yeah

[Post-Chorus: BENEE]
La-la-la-la, la-la-la-la
Lonely (I'm a lonely bitch)
La-la-la-la, la-la-la-la
Lonely (Super lonely)

[Verse 2: BENEE & Gus Dapperton]
Now I'm in the bathtub cryin'
Think I'm slowly sinking
Bubbles in my eyes now
Maybe I'm just dreamin'
Now I'm in the sad club
Just tryna get a back rub (Lonely)

[Pre-Chorus: BENEE with Gus Dapperton]
I'm a sad girl in this big world, it's a mad world
All of my friends know what's happened, you're a bad thing

[Chorus: BENEE]
I know I fucked up (Fucked up), I'm just a loser (Loser)
Shouldn't be with ya (With ya), guess I'm a quitter (Quitter)
While you're out there drinkin' (Drinkin'), I'm just here thinkin' (Thinkin')
'Bout where I should've been (Where I should've been)
I've been lonely, mmh, ah, yeah (Woah)

[Post-Chorus: BENEE]
La-la-la-la (Woo), la-la-la-la
Lonely (I'm a lonely bitch)
La-la-la-la, la-la-la-la
Lonely (Super lonely)

[Bridge: Gus Dapperton]
I loathe romancing in itself, yeah, I'd be damned to try
I'm only dancin' by myself, so I don't slam my Irish buck
Compostable cups, B-B-BENEE, I can't stress this enough
I would hate to mess things up, but my boogie still stays restless as fuck, yeah

[Chorus: BENEE & Gus Dapperton, BENEE]
I know I fucked up, I'm just a loser
Shouldn't be with ya, guess I'm a quitter
While you're out there drinkin', I'm just here thinkin'
'Bout where I should've been
I've been lonely, mmh, ah, yeah

[Post-Chorus: BENEE]
La-la-la-la, la-la-la-la
Lonely (I'm a lonely bitch)
La-la-la-la, la-la-la-la
Lonely (Super lonely)

[Outro: BENEE]
La-la-la-la, la-la-la-la (I've been lonely, I've been lonely)
Lonely (I've been lonely, by the way)
La-la-la-la, la-la-la-la
Lonely (I've been lonely)"
Elton John,Rocket Man (I Think It's Going To Be A Long Long Time),11124266126,"[Verse 1]
She packed my bags last night, pre-flight
Zero hour: 9:00 a.m
And I'm gonna be high as a kite by then
I miss the Earth so much, I miss my wife
It's lonely out in space
On such a timeless flight

[Chorus]
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone

[Verse 2]
Mars ain't the kind of place to raise your kids
In fact, it's cold as hell
And there's no one there to raise them if you did
And all the science, I don't understand
It's just my job five days a week
A rocket man
A rocket man

[Chorus]
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone

[Outro]
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time"
Coldplay,Green Eyes,11124266126,"[Verse 1]
Honey, you are a rock
Upon which I stand
And I come here to talk
I hope you understand

[Pre-Chorus]
The green eyes
Yeah, the spotlight shines upon you
And how could anybody deny you

[Chorus]
I came here with a load
And it feels so much lighter
Now I met you
And, honey, you should know
That I could never go on without you
Green eyes

[Verse 2]
Honey, you are the sea upon which I float
And I came here to talk
I think you should know

[Pre-Chorus]
That green eyes
You're the one that I wanted to find
And anyone who tried to deny you
Must be out of their mind
[Chorus]
Because I came here with a load
And it feels so much lighter since I met you
And, honey, you should know that I could never go on without you

[Post-Chorus]
Green eyes
Green eyes

[Outro]
Honey, you are a rock
Upon which I stand"
Pau Vallvé,Avui l'únic que vull,ferqwertyuiop,"Les angoixes
I els nervis mal educats
I les bronques
I les histèries
I tot plegat ja se'n pot anar
A la merda

Perquè jo avui
L'únic que vull és mirar el cel
I que tothom em deixi en pau, joder
Jo avui l'únic que vull és no fer res
I a la merda

I els imbècils
I la gent que vol molestar
I les enveges
I els prejudicis
I els pesats se'n poden anar
A ""tumà"" pel sac

Perquè jo avui
L'únic que vull és mirar el cel
I que tothom em deixi en pau, joder
Jo avui l'únic que vull és no fer res
I a la merda"
Boikot,Salgo a la Calle (Bonus Track),1183037273,"[Letra de ""Salgo Pa' La Calle"" ft. Randy Nota Loca]

[Intro: Randy & Daddy Yankee]
Siki, siki, siki-Daddy Yankee, yo
Ra-Ra-Randy
Hoy salgo pa' la calle sin rumbo
Como un vagabundo sin rumbo
Hoy sí que no hay nada que me pare
Hoy una gatita me llevaré
One, two, go, c'mon

[Coro: Randy & Daddy Yankee]
La luna está llena y la disco llena 'e solteras (Sí)
Y andan coqueteando
Hoy sí de seguro que voy a encontrar lo que ando buscando
El bajo retumba y suena cómo e'
Hoy una gatita me llevaré
(Boss, Boss, Boss)

[Refrán: Daddy Yankee]
Hoy salgo pa' la calle, ma', fino y elegante
¿Qué? Fino y elegante
Soy dueño de la carretera en el volante
¿Por qué? Estoy fino y elegante

[Verso 1: Daddy Yankee]
Tranquilito, bajo con mi combo al circuito
Llegamo' a la disco y me quedo bizco
Y el futuro está escrito (¡Oh!)
Cualquiera se pierde (Yeah) con gatas rebeldes (Yeah)
Y yo con los verdes (Ohhh)
Te apuesto lo que sea a que hago un buen levante
¿Por qué? Estoy fino y elegante

[Coro: Randy & Daddy Yankee]
La luna está llena y la disco llena de solteras (Full)
Y andan coqueteando (Están suelta', pa')
Hoy sí de seguro que voy a encontrar lo que ando buscando (Easy, c'mon)
El bajo retumba y suena cómo e'
Hoy una gatita me llevaré
(Boss, Boss, Boss)

[Verso 2: Daddy Yankee]
Estás con los reale', no hay nadie que separe
Me estás perreando con lo' movimiento' ilegale'
Como a ratos especiale', te vas conmigo, dale
Sin compromiso, nena, sentimentale'
Las gatas que están solteras a uno le traen buena suerte
Se convierten en tus amigas hasta la muerte
Y piden que uno le dé cariño y castigo más fuerte
Más fuerte y que no la suelte
Uno, dos, ¡tra! Fulminante el ¡tra!
Suena el bajo (Yeah), lo paramos, ¡tra!
Échate pa'trrá, va azotando el ¡tra!
Activo el GPS de nuevo porque

[Refrán: Daddy Yankee]
Hoy salgo pa' la calle, ma', fino y elegante
¿Qué? Fino y elegante
Soy dueño de la carretera en el volante
¿Por qué? Estoy fino y elegante

[Coro: Randy & Daddy Yankee]
La luna está llena y la disco llena de solteras (Oh, man)
Y andan coqueteando (Daddy)
Hoy sí de seguro que voy a encontrar lo que ando buscando (Randy, c'mon)
El bajo retumba y suena cómo e' (Yeah)
Hoy una gatita me llevaré
(Boss, Boss)

[Verso 3: Randy]
¿Con que estás suelta y soltera?
Anda esa bandolera por ahí de party en party
Buscando un papi al que le dé lo de ella sin problemas y con las pacas llena'
Ese trajecito suave de algodón
Caigo, caigo en tentación

[Coro: Randy]
La luna está llena y la disco llena de solteras
Y andan coqueteando
Hoy sí de seguro que voy a encontrar lo que ando buscando
El bajo retumba y suena cómo e'
Hoy una gatita me llevaré

[Outro: Randy & Daddy Yankee]
Luny Tunes
Siki, siki, siki-Daddy Yankee, yo
Ra-Ra-Randy, Nota-Nota-Nota Loca
Y somo' talento del barrio, Daddy
Insuperables, inigualables
Tú lo sabe'
Hoy salgo pa' la calle sin rumbo
Como un vagabundo sin rumbo
Hoy sí que no hay nada que me pare
Hoy una gatita me llevaré
Daddy Yankee"
Rag'n'Bone Man,Human,1183037273,"[Intro]
I'm only human
I'm only, I'm only
I'm only human, human

[Verse 1]
Maybe I'm foolish, maybe I'm blind
Thinking I can see through this and see what's behind
Got no way to prove it, so maybe I'm lying

[Refrain]
But I'm only human after all
I'm only human after all
Don't put your blame on me
Don't put your blame on me

[Verse 2]
Take a look in the mirror and what do you see?
Do you see it clearer, or are you deceived
In what you believe?

[Refrain]
'Cause I'm only human after all
You're only human after all
Don't put the blame on me
Don't put your blame on me

[Chorus]
Some people got the real problems
Some people out of luck
Some people think I can solve them
Lord heavens above
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me

[Verse 3]
Don't ask my opinion, don't ask me to lie
Then beg for forgiveness for making you cry
Making you cry

[Refrain]
'Cause I'm only human after all
I'm only human after all
Don't put your blame on me
Don't put the blame on me

[Chorus]
Oh, some people got the real problems
Some people out of luck
Some people think I can solve them
Lord heavens above
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me

[Post-Chorus]
I'm only human, I make mistakes
I'm only human, that's all it takes
To put the blame on me
Don't put the blame on me

[Bridge]
'Cause I'm no prophet or Messiah
You should go looking somewhere higher

[Outro]
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me
I'm only human, I do what I can
I'm just a man, I do what I can
Don't put the blame on me
Don't put your blame on me"
InnerCut,1996,soyungalgo,"[Intro]
Light a candle for the sinners
Set the world on fire

[Verse 1]
Anti choice and anti girl
I am the anti-flag unfurled
Anti white and anti man
I got the anti-future plan

Anti fascist, anti mod
I am the anti-music god
Anti sober, anti whore
There will never be enough of anti more

[Pre-Chorus]
I can't believe in the things
That don't believe in me
Now, it's your turn to see what I hate about me

[Chorus]
Anti people, now you've gone too far
Here's your Antichrist Superstar

[Verse 2]
Anti money, anti hate
Anti things I fucked and ate
Anti cop and anti fun
Here is my anti-President gun

Anti Satan, anti black
The anti world is on my back
Anti gay and anti dope
I am the faggot anti-Pope

[Pre-Chorus]
I can't believe in the things
That don't believe in me
Now, it's your turn to see what I hate about me

[Chorus]
Anti people, now you've gone too far
Antichrist Superstar
Anti people, now you've gone too far
Here's your Antichrist Superstar
Anti people, now you've gone too far
Antichrist Superstar
Anti people, now you've gone too far
Here's your Antichrist Superstar

[Bridge]
This is where your faith ends

1996! 1996! 1996! 1996!

[Verse 3]
Anti peace and anti life
Anti husband, anti wife
Anti song and anti me
I don't deserve a chance to be

[Chorus]
Anti people, now you've gone too far
Antichrist Superstar
Anti people, now you've gone too far
Here's your Antichrist Superstar"
Zahara,berlin U5,soyungalgo,"[Letra de ""Berlin U5""]

[Estrofa 1]
¿Recuerdas cómo era este amor salvaje?
Dormía en las alfombras, bebía de tu boca
Nunca pudimos ponerle un bozal y pasear
Siempre mordía justo después de besar

[Estribillo]
Llévame a bailar como si aún fuera real
Como si aún fuéramos ese animal
Como si el mundo no se fuera acabar
Como si el universo no tuviera un plan
Aunque quiera llorar, tú solo llévame a bailar

[Estrofa 2]
Este amor insomne comía nuestra mano
Corría desnudo, follaba sin descanso
Nunca pudimos domesticarlo ni acariciar
Cielo ebullendo al intentarlo atar

[Estribillo]
Llévame a bailar como si aún fuera real
Como si aún fuéramos ese animal
Como si el mundo no se fuera acabar
Como si el universo no tuviera un plan
Aunque quiera llorar, tú solo llévame a bailar

[Puente]
Nosotros que creíamos que éramos irrompibles
No escuchamos el tic tac, vivíamos al límite
Nosotros que creíamos que éramos irrompibles
No escuchamos el tic tac, tic tac, tic tac, tic tac, tic tac
Tic tac, tic tac, tic tac, tic tac, tic tac

[Estribillo]
Llévame a bailar como si aún fuera real
Como si aún fuéramos ese animal
Como si el mundo no se fuera acabar
Como si el universo no tuviera un plan
Llévame a bailar
Llévame a bailar"
Calavera,Ámbar,soyungalgo,"[Verse 1]
Could you hear death's voice within the breeze?
The atmosphere is hurting with disease
But you're too busy with your head down
Your mind's not here
There's a child filled with fear
Begging you to hear their hurting is severe
But you're too busy with your head down

[Pre-Chorus]
¿Por qué siempre se tiene que sufrir?
Trae tanto dolor solamente existir

[Chorus]
The universe is screaming
In desperatе need of healing
The love wе choose not to feed
Will lead us to our own defeat
The hurting just need loving
The world around us is dying
No, no, no
But you're too busy with your head down

[Verse 2]
The tree of song sings its sorrow
For humankind
It's all right in front of plain sight
Oh, my
Oh, my, oh
But you're too busy with your head down

[Pre-Chorus]
¿Por qué siempre se tiene que sufrir?
Trae tanto dolor solamente existir

[Chorus]
The universe is screaming
In desperate need of healing
The love we choose not to feed
Will lead us to our own defeat
The hurting just need loving
The world around us is dying
No, no, no
But you're too busy with your head down"
Novedades Carminha,Verbena,soyungalgo,[Instrumental]
Alba Reche,los cuerpos,soyungalgo,"Cuerpos en calor
Desprendiéndose de la tierra
Cuerpos sin control
O hay algo en vos que los controla

Cuerpos convertidos en algo inflamable
Cuerpos convertidos en algo más etéreo
Cuerpos lanzados a la danza
Cuerpos desalmados

Comienzan mezclarse
Se suman divertidos
Los cuerpos entrañables

Cuerpos en calor
Desprendiéndose de la tierra
Cuerpos sin control
O hay algo en vos que los controla

Cuerpos convertidos en algo inflamable
Cuerpos convertidos en algo más etéreo
Cuerpos lanzados a la danza
Cuerpos desalmados

Comienzan mezclarse
Se suman divertidos
Los cuerpos entrañables
Los cuerpos, los cuerpos
Cometen el amor

Los cuerpos, los cuerpos
Porfían por amor"
Love of Lesbian,Viaje épico hacia la nada,soyungalgo,"[Letra de ""Viaje épico hacia la nada""]

[Verso 1]
Fue esta mañana al despertar
Cuando me llego un acorde fatal
Sellaste el pasaporte al Nunca Jamás, tú
Me sale gritar un ""no""
Hermano de hambre, mi héroe del Baix
Tu alma sigue intacta en ese local
Pero la línea que muy pocos quieren cruzar
Tú la saltaste hoy
Con qué noticia empiezo, oh, no

[Verso 2]
Hablé con tu ángel de la guarda
Justo el alba dimitió
Sin la opinión de Dios
Ahora trabaja en un gran parking
Me quejé de su actitud
Me dijo: ""¿Dónde estabas tú?""

[Estribillo]
Si me preguntan diré:
""Nada, él soñó con ser nada
Una gota en el agua
Fundida en un mar de adiós""
Si no se callan diré:
""Nadie, él soñó con ser nadie
Más ligero que el aire
Sin peso de aquel dolor""
Con qué noticia empiezo hoy
[Verso 3]
Te suspendiste en el vacío aunque nadie puntuó
Ya siento el aire de tus alas
No estás y aún cuentas
Y a tan pocos puedo hablarles de ti
Que tengo el alma congelada

[Estribillo]
Si me preguntan diré:
""Nada, él soñó con ser nada
Una gota en el agua
Fundida en un mar de adiós""
Si no se callan diré:
""Nadie, él soñó con ser nadie
Más ligero que el aire
Sin peso de aquel dolor""
Con qué noticia empiezo hoy

[Outro]
¿Hay más?
Si lo sabes, di si hay más
Más allá de mi rabia
O si la vida es un viaje heroico hacia la nada
No hay más
Antes te hice una carta
Pero sé que al cantar, es una invocación"
Litus,Margaret Keane,soyungalgo,"[Chorus]
With your big eyes
And your big lies
With your big eyes
And your big lies

[Verse 1]
I saw you creeping around the garden; what are you hiding?
I beg your pardon, don't tell me ""nothing""
I used to think that I could trust you
I was your woman
You were my knight and shining companion

[Pre-Chorus]
To my surprise
My love's demise
Was his own greed
And lullabies

[Chorus]
With your big eyes
And your big lies
With your big eyes
And your big lies

[Verse 2]
I noticed you got hot in summer
You had no comfort
Your shirt was cotton
Your face was sunburned
You paced around like you'd been waiting
Waiting for something
Your world was burning and I stood watching
[Pre-Chorus]
As I looked on
The flames grew high
You watched me frown
I said ""goodbye""

[Chorus]
With your big eyes
And your big lies
With your big eyes
And your big lies

[Bridge]
Is it me, was I wrong to have trusted you?
Did I see what I wanted, what wasn't true?
Was I wrong to go on like a little fool?
It's amazing what women in love will do

[Chorus]
With your big eyes
And your big lies
With your big eyes
And your big lies"
